AS-IS PGM,AS-IS PGM명,Depth,AS-IS PGM 함수,AS-IS PGM 함수명,설명,"호출구분
(PR:접수, CO:개통)","구분1
(고객유형)","구분2
(서비스상세)","구분3
(단말유형)","구분4
(기타)",L4,L4의 기능
ORDSS0100010T02,신규가입 서비스 임시정보 생성,-1,b100_get_esim_eqp_info,eSIM단말구분 조회,"zeqp_eqp_mdl_s0069
Watch단말 가입은 2nd Device가입화면에서 진행하세요",PR,,,eSIM,휴일포함,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ORDSS0100010T02,신규가입 서비스 임시정보 생성,-1,c010_chk_scrbrst,영업장/화면별 가입제한 여부,"zngm_it_isol_scrn_lst_s0003
선후불전환가입 제외",PR,,,,휴일포함,BP-ORDTMFC002-0043-R017,신규가입 업무 제한 체크
ORDSS0100010T02,신규가입 서비스 임시정보 생성,-1,c100_zord_rsp_svc_dtl_brws,esim단말일 경우 RSP연동방식 조회,"이동전화eSIM단말가입시 RSP연동정보조회
zord_rsp_svc_dtl_s0010",PR,,,eSIM,휴일제외,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ORDSS01S0200T02,"부가회선(M2M,Cat.M1) 임시정보 생성",-1,b100_get_esim_eqp_info,eSIM단말구분 조회,"zeqp_eqp_mdl_s0069
Watch단말 가입은 2nd Device가입화면에서 진행하세요",PR,,,eSIM,휴일포함,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ORDSS01S0200T02,"부가회선(M2M,Cat.M1) 임시정보 생성",-1,c100_zord_rsp_svc_dtl_brws,esim단말일 경우 RSP연동방식 조회,"이동전화eSIM단말가입시 RSP연동정보조회
zord_rsp_svc_dtl_s0010",PR,,,eSIM,휴일제외,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ORDSS01S0210T02,Cat.M1 임시정보 생성,-1,X,,zordms0100015 모듈 호출전 체크사항 없음.,PR,,,,,X,
ORDSS01S0220T02,2nd Device 임시정보 생성,-1,b100_get_esim_eqp_info,eSIM단말구분 조회,"zeqp_eqp_mdl_s0069
Watch단말 가입은 2nd Device가입화면에서 진행하세요",PR,,,eSIM,휴일포함,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ORDSS01S0220T02,2nd Device 임시정보 생성,-1,c100_zord_rsp_svc_dtl_brws,esim단말일 경우 RSP연동방식 조회,"이동전화eSIM단말가입시 RSP연동정보조회
zord_rsp_svc_dtl_s0010",PR,,,eSIM,휴일제외,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ORDSS0100010T12,IoT-Gate Cat.M1 신규가입 처리(선납),-1,X,,"(선처리)
- 번호 자동채번
- 고객 연락처 변경
- 청구계정 생성(자납신청포함)

zordms0100015 INPUT을 채우기 위한 조회기능
- 고객번호로 주민법인일련번호 조회
- 단말기모델명, USIM모델명, 상품명조회
- IMEI번호 조회 등

(후처리)
- Cat.M1 셀프가입 카드승인요청(zpaympmt00400)",PR,,,,,X,
ORDSS0100010T13,IoT-Gate Cat.M1/M2M 신규가입 처리(후불),-1,X,,"(선처리)
- 단말기정보로 Cat.M1/M2M 구분 (서비스상세구분)
- 번호 자동채번
- 고객 연락처 변경
- 청구계정 생성(자납신청포함)

zordms0100015 INPUT을 채우기 위한 조회기능
- 고객번호로 주민법인일련번호 조회
- 단말기모델명, USIM모델명, 상품명조회
- IMEI번호 조회 등",PR,,,,,X,
ZORDBS01S0021,공통플랫폼 데이터 임시정보 생성 및 개통 onDemand Batch,-1,X,,미사용 프로그램,PR,,,,,X,
ZORDBS01S0037,다회선가입 법인고객 임시정보생성 onDemand Batch,-1,s03_cursor_fetch,,"zeqp_eqp_mdl_s0069
Watch단말 가입불가",PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDBS01S0037,다회선가입 법인고객 임시정보생성 onDemand Batch,-1,s03_zord_rsp_svc_dtl_brws,eSIM단말 RSP연동조회,zord_rsp_svc_dtl_s0010,PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDBS01S0038,다회선가입 법인고객 개통처리 onDemand Batch,-1,s03_cursor_fetch,,"zeqp_eqp_mdl_s0069
Watch단말 가입불가",PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDBS01S0038,다회선가입 법인고객 개통처리 onDemand Batch,-1,s03_zord_rsp_svc_dtl_brws,eSIM단말 RSP연동조회,zord_rsp_svc_dtl_s0010,PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDMCAR00030,차량용 개통처리 공통모듈,-1,b100_rsp_lnkg_hst_proc,RSP연동이력조회,zord_rsp_svc_dtl_s0033,PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDMCAR00030,차량용 개통처리 공통모듈,-1,c100_mo_get_cust_info,모서비스-고객정보 조회,"zord_wless_svc_s0005 모서비스 조회
zordms0100010 고객공통사항체크
- 고객정보X, 이중고객일 경우 가입불가",PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDMS0100060,애플워치개통처리,-1,b100_rsp_lnkg_hst_proc,RSP연동이력조회,zord_rsp_svc_dtl_s0033,PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDMS0100060,애플워치개통처리,-1,c100_mo_get_cust_info,모서비스-고객정보 조회,"zord_wless_svc_s0005 모서비스 조회
zordms0100010 고객공통사항체크
- 고객정보X, 이중고객일 경우 가입불가",PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
ZORDMS0100070,갤럭시워치개통처리,-1,b100_rsp_lnkg_hst_proc,RSP연동이력조회,zord_rsp_svc_dtl_s0033,PR,,,eSIM,,BP-ORDTMFC002-0043-R018,신규가입 단말 체크
