AS-IS PGM,AS-IS PGM명,Depth,AS-IS PGM 함수,AS-IS PGM 함수명,설명,"호출구분
(PR:접수, CO:개통)","구분1
(고객유형)","구분2
(서비스상세)","구분3
(단말유형)","구분4
(기타)",L4,L4의 기능
ZORDMS0100011,신규가입개통처리,0,b100_select_svc_tmp,신규가입 임시정보 조회,신규가입 임시정보 조회 => 주문서 조회CallActivity,CO,,,,[주문서],BP-ORDTMFC002-0043-H020,신규가입 개통
ZORDMS0100011,신규가입개통처리,0,b202_update_zord_svc_num_rsc_rescrb,철회재가입시 번호자원의 svc_mgmt_num update,zord_svc_num_rsc_u0065,CO,,,,철회후재가입(4),BP-ORDTMFC002-0043-H027,철회후 재가입 처리
ZORDMS0100011,신규가입개통처리,0,b203_chk_kait_smln,KAIT 단기간 다회선 가입제한 체크,"zordmcus00901
# 사전체크에 포함되어 있음",CO,,"일반(C1), 선불(C2) air(CB)
(이용종류 : 01,09,4)",,"번호이동(3), 철회후재가입(4) 제외",X,
ZORDMS0100011,신규가입개통처리,0,b204_chk_debt_adj,KAIT 신복위채무조정 가입제한 체크,"zordmcus01000
# 사전체크에 포함되어 있음",CO,,"일반(C1), air(CB)
(이용종류 : 01,4)",,,X,
ZORDMS0100011,신규가입개통처리,0,,winback 해지후재가입 처리,"zordms9990900 winback 해지후재가입 갱신 처리
서비스등급 승계 zordms0100117
'NA00009504'(Winback_가입) 더미상품 자동가입",CO,,,,,X,winback 삭제될 기능
ZORDMSUB01020,신규가입 공통 체크,1,b407_call_zordmcus00720,KAIT부정가입방지 이력생성,ZORDMCUS00720,CO,,,,,BP-ORDTMFC002-0043-H020,신규가입 개통
,신규,,신규,신규,"계약정보 생성 (신규)
메인/옵션 계약, 계약구성, 계약사용 등 생성",,,,,,BP-ORDTMFC002-0043-H020,신규가입 개통
ZORDMSUB01130,신규가입 서비스/관계이력,1,"b301_set_svc
b303_set_cust_cntrct_rel_hst
b317_set_svc_eqp_rel_hst",신규가입 서비스/관계이력,"서비스정보, 서비스 상태변경  생성
고객계약관계이력
서비스단말기관계이력, USIM 존재시 서비스단말기 변경이력",CO,,,,,BP-ORDTMFC002-0043-H022,서비스 및 서비스관계생성
ZORDMSUB01130,신규가입 서비스/관계이력,1,b745_call_zordms08s5040,법대 연락처 서비스이력생성,법대 연락처 서비스이력생성,CO,,,,,BP-ORDTMFC002-0043-H022,서비스 및 서비스관계생성
ZORDMSUB01130,신규가입 서비스/관계이력,1,b306_set_acnt,계정생성(계정이력관계),계정생성(계정이력관계) ZORDMACT00202,CO,,,,,BP-ORDTMFC002-0043-H020,신규가입 개통
ZORDMSUB01130,신규가입 서비스/관계이력,1,b365_set_pafpayscrb,"선후불전환가입시 관계이력생성, 접촉이력생성 공통모듈","선후불전환가입시 관계이력생성, 접촉이력생성 공통모듈
# [선후불전환가입] 이동",CO,,,,선후불전환가입처리,X,
ZORDMS0100011,신규가입개통처리,0,b304_set_wlf_dc,복지할인 처리,ZORDMS0800071,CO,,,,복지,BP-ORDTMFC002-0043-H020,신규가입 개통
ZORDMSUB01140,신규가입 계약서관리,1,"b310_get_cntrct_num_yn
b305_set_cntrct_num",신규가입 계약서관리,"1. 계약서채번대상 M2M단말기 여부  혹은 일반단말 채번대상
ZORD_P_CNTRCT_M2M_EQP
zeqp_eqp_ver_func_s0330
2. Cat.M1 비대면가입은 제외

ZCIAMMGNS0600, ZORDMS0110052",CO,,"이용종류: 01, 09, 41","M2M단말, 혹은 일반단말",,BP-ORDTMFC002-0043-H023,신규가입 계약서관리
ZORDMSUB01110,신규가입 Cat. M1 조회/처리,1,b210_get_mgmt_org_id,Cat.M1 단말관리조직 조회,zngm_org_s0177,CO,,Cat.M1(C9),,M2M유형(Cat.M1),BP-ORDTMFC002-0043-H025,신규가입 Cat. M1 처리
ZORDMSUB01110,신규가입 Cat. M1 조회/처리,1,b310_set_iot_svc_cntc_plc,신규가입 Cat. M1 조회/처리,zordms08s5010 iot연락처 서비스이력생성,CO,,Cat.M1(C9),,M2M유형(Cat.M1),BP-ORDTMFC002-0043-H025,신규가입 Cat. M1 처리
ZORDMS01S0160,Cat.M1 신규가입 기업용 추가정보 생성,3,b100_set_co_cat_m1_adinfo,Cat.M1 추가정보 생성,Cat.M1 추가정보 생성 ZORD_CO_M2M_ADINFO,CO,,Cat.M1(C9),,M2M유형(Cat.M1),BP-ORDTMFC002-0043-H025,신규가입 Cat. M1 처리
ZORDMS01S0020,"부가회선(M2M,Cat.M1) 개통처리",2,b100_set_co_m2m_adinfo,"부가회선(M2M,Cat.M1) 개통처리","부가회선(M2M,Cat.M1) 개통처리
M2M 추가정보 생성 ZORD_CO_M2M_ADINFO",CO,,,M2M,M2M유형(M2M),BP-ORDTMFC002-0043-H024,신규가입 M2M 처리
ZORDMS0100011,신규가입개통처리,0,b343_set_agn_svc_scrb_rsv,가입예약자료 개통완료처리,"가입예약자료 예약가입 개통완료
zord_agn_svc_scrb_rsv_u0001
가입예약완료 => 주문서 처리요청",CO,,,,[주문서],BP-ORDTMFC002-0043-H020,신규가입 개통
ZORDMS0100011,신규가입개통처리,0,b212_chk_bef_eqp_dc,이전서비스가 단말할인정보를 받고 있는지 여부 확인,"할인지급중이면 단말기할부지원은 무조건승계(Y)
skt가 고객에게 환불을 한경우 승계(Y), 환불하지 않은 경우 승계(N)",CO,,,,14일내철회후재가입(4)/해지오처리재가입(5),BP-ORDTMFC002-0043-H027,철회후 재가입 처리
ZORDMS0100011,신규가입개통처리,0,b517_call_zordms0500075,대리점지원금 한도초과 여부 체크,zordms0500075,CO,,,,할부,X,"단말기 할부, 지원금 등록 제외"
ZORDMS0100011,신규가입개통처리,0,b710_call_zordms0510010,단말기 렌탈 관리,# 미사용,CO,,,,렌탈,X,
ZORDMS0100011,신규가입개통처리,0,b771_proc_2g_fadeout,2G FadeOut 대상일 경우 체크및 등록,"2G보상(70%할인), 만원할인상품….
# 미사용",CO,,,,2G FadeOut,X,
ZORDMSUB01160,신규가입 변경이력생성,1,"b302_set_svc_chg_hst
b313_set_cust_chg_hst
b320_set_nn_svc_chg_hst",신규가입 변경이력생성,ZORDMS0100014,CO,,,,,BP-ORDTMFC002-0043-H028,신규가입 변경이력 생성
ZORDMS0100011,신규가입개통처리,0,b307_set_svc_tmp,서비스임시정보 테이블 수정 (처리완료),,CO,,,,[주문서],,
ZORDMS0100011,신규가입개통처리,0,"b33a_call_zordms05s0350
b336_call_zordms05s0340",지원금/할부 처리,"zordms05s0340, zord_allot_obj_eqp_i0003",CO,,,할부/지원금,,X,"단말기 할부, 지원금 등록 제외"
ZORDMS0100011,신규가입개통처리,0,b337_insert_zord_dsnet_supm_agrmt,유통망지원금약정 생성(추가지원금 존재시),"추가지원금 존재/해지오처리재가입/철회후재가입
zordms0500046 추가지원금약정 가입처리",CO,,,,"추가지원금 존재, 
14일내철회후재가입(4)/해지오처리재가입(5)",X,"단말기 할부, 지원금 등록 제외"
ZORDMS0100011,신규가입개통처리,0,"b230_call_zordms01s0210
b501_create_integ_mms_msg","통합MMS 대상인 경우, 통합MMS명세 생성","zordms01s0210, zngmmcap00260,  zord_web_msg_spc_i0001",CO,,,AW 제외,,BP-ORDTMFC002-0043-H035,신규가입 안내 메시지 발송
ZORDMS0100011,신규가입개통처리,0,b221_chk_bef_tablet_agrmt,태블릿약정 승계대상여부및 위약금환불여부 체크,"zord_svc_prod_agrmt_s0024
zinv_svc_inv_spc_s0306",CO,,,,14일내철회후재가입(4)/해지오처리재가입(5),BP-ORDTMFC002-0043-H027,철회후 재가입 처리
ZORDMSUB01090,신규가입 esim 처리,1,"b110_chk_aw_mo_rescrb
b130_set_svc_rel_hst",애플워치 모회선 철회후 재가입 일 경우 서비스관계이력 생성,"애플워치 모회선 철회후 재가입일 경우
철회후 재가입 전 자회선과 관계생성",CO,,,,"PRV_OP
철회후재가입(4)",BP-ORDTMFC002-0043-H027,철회후 재가입 처리
ZORDMSUB01090,신규가입 esim 처리,1,b210_set_aw_susp_rlse,애플워치 모회선 철회후 재가입시 이용정지 상태 애플워치 정지 해제처리,zordms0700050,CO,,,,"PRV_OP
철회후재가입(4)",BP-ORDTMFC002-0043-H027,철회후 재가입 처리
ZORDMS0100030,신규가입 상품완료 전 체크,2,b100_check_proc,신규가입 상품완료 전 체크,zordms0100030 신규가입 상품완료 전 체크,CO,,,신규가입 상품가입 전 체크,,BP-ORDTMFC002-0043-H029,신규가입 상품가입
